[0426121001]  ******************************    result     ******************************
[0426121001]  
    item                          data  aug_kappa        f1  1-jaccard_distance  1-masi_distance       mla
0    1.0        [[1, 6], [2, 3, 4, 5]]   0.000000  0.000000            0.000000         0.000000  0.000000
1    2.0     [[1, 2, 6], [2, 3, 4, 5]]   0.083333  0.285714            0.166667         0.055000  0.291667
2    3.0        [[1, 2, 6], [2, 3, 4]]   0.111111  0.333333            0.200000         0.066000  0.333333
3    4.0        [[1, 2], [2, 3, 4, 5]]   0.125000  0.333333            0.200000         0.066000  0.375000
4    5.0           [[1, 2, 6], [2, 3]]   0.166667  0.400000            0.250000         0.082500  0.416667
5    6.0           [[1, 2], [2, 3, 4]]   0.166667  0.400000            0.250000         0.082500  0.416667
6    7.0              [[1, 2], [2, 3]]   0.250000  0.500000            0.333333         0.110000  0.500000
7    8.0     [[1, 2, 3], [2, 3, 4, 5]]   0.166667  0.571429            0.400000         0.132000  0.583333
8    9.0                 [[1], [1, 2]]   0.500000  0.666667            0.500000         0.335000  0.750000
9   10.0           [[1, 2], [1, 2, 3]]   0.333333  0.800000            0.666667         0.446667  0.833333
10  11.0     [[1, 2, 3], [1, 2, 3, 4]]   0.250000  0.857143            0.750000         0.502500  0.875000
11  12.0              [[1, 2], [1, 2]]   0.500000  1.000000            1.000000         1.000000  1.000000
12  13.0  [[1, 2, 3, 4], [1, 2, 3, 4]]   0.250000  1.000000            1.000000         1.000000  1.000000
